BulkBGroup,RhizoBGroup,Country,Crop_Family,Crop_Managment,n.x,average.x,sd.x,n.y,average.y,sd.y
ZZG6B,ZZG6R,Germany,Gramineae,Dryland,3,5.84710259,0.039756279,3,5.611664746,0.155543892
ZZG7B,ZZG7R,Germany,Gramineae,Dryland,3,5.733017809,0.078508126,3,5.640129017,0.047092018
ZZG8B,ZZG8R,Germany,Gramineae,Dryland,3,5.896022122,0.0550421,3,5.935208515,0.352321872
ZZH1B,ZZH1R,China,NA,Dryland,2,6.528650022,0.177645415,2,6.553980465,0.032553031
ZZH1B,ZZH3R,China,NA,Dryland,2,6.528650022,0.177645415,2,6.514666618,0.100817052
ZZQ1B,ZZQ1R,USA,NA,Dryland,2,7.259410276,0.234203492,10,6.587110813,0.426099942
ZZS2B,ZZS2R,Spain,NA,Dryland,5,5.840237127,0.083873799,5,5.851977603,0.100229396
ZZS2B,ZZS3R,Spain,NA,Dryland,5,5.840237127,0.083873799,5,5.80218502,0.129395232
ZZU1B,ZZU1R,Mexico,NA,Dryland,15,4.667832762,0.330300617,8,5.172160776,0.349771199
ZZU1B,ZZU3R,Mexico,NA,Dryland,15,4.667832762,0.330300617,9,4.954829016,0.142434134
ZZU1B,ZZU5R,Mexico,NA,Dryland,15,4.667832762,0.330300617,8,5.151722015,0.097511609
ZZV1B,ZZV1R,China,Gramineae,Dryland,3,5.822481447,0.430639167,3,5.606739717,0.262322519
ZZV2B,ZZV2R,China,Gramineae,Dryland,3,5.742978201,0.254882264,3,5.793528067,0.339994811
ZZV3B,ZZV3R,China,Gramineae,Dryland,2,6.091751879,0.134031199,2,6.328568692,0.205930796
ZZV4B,ZZV4R,China,Gramineae,Dryland,3,5.103419791,0.168370963,3,5.794211219,0.348067251
ZZV5B,ZZV5R,China,Gramineae,Dryland,3,5.68222767,0.139929271,3,5.379677509,0.153593938
ZZV6B,ZZV6R,China,Gramineae,Dryland,3,5.311012955,0.348300561,3,5.087836357,0.198454117
ZZV7B,ZZV7R,China,Gramineae,Dryland,3,5.529016087,0.053318238,3,5.704950573,0.126085755
ZZV8B,ZZV8R,China,Gramineae,Dryland,3,6.082762443,0.052188343,3,6.045214127,0.092909822
ZZV9B,ZZV9R,China,Gramineae,Dryland,2,5.368517402,0.120749918,2,5.95356518,0.326380814
ZZW1B,ZZW1R,China,Leguminosae,Dryland,3,5.354429921,0.223471143,3,5.614930173,0.054075919
ZZW1B,ZZW2R,China,Leguminosae,Dryland,3,5.354429921,0.223471143,3,5.487187103,0.080602413
ZZW1B,ZZW3R,China,Leguminosae,Dryland,3,5.354429921,0.223471143,3,5.454261347,0.342499005
ZZX1B,ZZX1R,China,NA,Dryland,4,5.494505199,0.288781384,2,5.194251407,0.104576023
ZZZG2B,ZZZG2R,USA,Gramineae,Dryland,2,2.106624941,0.358950911,2,2.331986129,0.188704409
ZZZH1B,ZZZH1R,China,NA,Dryland,3,5.531794243,0.306764491,3,4.90854264,0.201137449
ZZZH2B,ZZZH2R,China,NA,Dryland,3,4.77208525,0.418851579,3,4.614718646,0.172992386
ZZZH3B,ZZZH3R,China,NA,Dryland,2,4.835474301,0.116918604,2,5.260966518,0.031054993
ZZZJ1B,ZZZJ1R,China,Cruciferae,Dryland,3,5.991114714,0.294560065,3,6.284875044,0.078507566
ZZZJ2B,ZZZJ2R,China,Cruciferae,Dryland,3,6.367189448,0.105749581,3,6.24901804,0.091210033
ZZZJ3B,ZZZJ3R,China,Cruciferae,Dryland,3,6.158060151,0.019030996,3,6.051625252,0.106907705
ZZZJ4B,ZZZJ4R,China,Cruciferae,Dryland,3,6.170217789,0.115951342,3,6.074279439,0.059224087
ZZZJ5B,ZZZJ5R,China,Cruciferae,Dryland,3,5.987117674,0.13650154,3,6.154613317,0.06851224
ZZZJ6B,ZZZJ6R,China,Solanaceae,Dryland,3,6.026814051,0.080010608,3,5.90755722,0.045907064
ZZZJ7B,ZZZJ7R,China,Solanaceae,Dryland,3,5.845543035,0.112367493,3,5.866223926,0.065916508
ZZZM3B,ZZZM3R,France,Gramineae,Wetland,6,4.9123876,0.444455254,2,5.180458083,0.129525197
ZZZM3B,ZZZM4R,France,Gramineae,Wetland,6,4.9123876,0.444455254,3,5.072683773,0.384652114
ZZZN1B,ZZZN1R,China,Leguminosae,Dryland,6,6.894072879,0.038973075,3,7.346272893,0.111273365
ZZZN2B,ZZZN2R,China,Leguminosae,Dryland,5,6.905066657,0.098252902,3,7.568681212,0.028552478
ZZZO1B,ZZZO11R,Brazil,Gramineae,Dryland,2,3.794245627,0.330047804,2,2.935063398,0.994416812
ZZZO1B,ZZZO12R,Brazil,Gramineae,Dryland,2,3.794245627,0.330047804,2,2.656685266,0.80813946
ZZZO1B,ZZZO13R,Brazil,Gramineae,Dryland,2,3.794245627,0.330047804,2,2.111268883,0.09511429
ZZZO1B,ZZZO14R,Brazil,Gramineae,Dryland,2,3.794245627,0.330047804,2,2.577372026,0.739442181
ZZZO3B,ZZZO31R,Brazil,Gramineae,Dryland,2,2.642070867,0.419748124,2,2.718958405,0.974163845
ZZZQ2B,ZZZQ2R,USA,Gramineae,Dryland,4,4.911540318,0.355488778,3,4.352137454,0.071294152
ZZZQ3B,ZZZQ3R,USA,Gramineae,Dryland,3,4.758513251,0.152826912,2,4.225669625,0.101846491
ZZZQ4B,ZZZQ4R,USA,Gramineae,Dryland,4,4.614315572,0.147825288,4,4.423167537,0.131740431
ZZZU1B,ZZZU1R,China,Leguminosae,Dryland,12,6.325996921,0.09671535,12,5.168577633,0.226569324
ZZZU2B,ZZZU2R,China,Leguminosae,Dryland,12,6.375058061,0.135033813,12,5.690346993,0.148264556
ZZZW1B,ZZZW1R,Canada,Leguminosae,Dryland,2,6.490583284,0.417123909,3,6.076991117,0.308726649
